seed,fold,method,protocol_sha256,measurement_macro_f1,measurement_balanced_accuracy,measurement_accuracy,bearing_macro_f1,bearing_accuracy,D_reliability_spearman,D_reliability_jaccard,budget_error,training_seconds,peak_gpu_mib
2026,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5044952478808117,0.6208333333333333,0.6208333333333333,0.5555555555555555,0.6666666666666666,0.832659055223994,0.6099476439790575,0.0,42.64205690000381,532.5068359375
2026,0,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3370924788247623,0.4458333333333333,0.44583333333333336,0.5555555555555555,0.6666666666666666,0.832659055223994,0.6099476439790575,0.0,42.76733109999623,532.5068359375
2026,0,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.30158730158730157,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.832659055223994,0.6099476439790575,0.0,42.693719200004125,532.5068359375
2026,1,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.8542025700929365,0.64,1.862645149230957e-09,42.73252619999403,532.5068359375
2026,1,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.8542025700929365,0.64,1.862645149230957e-09,42.84945150000567,532.5068359375
2026,1,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.8542025700929365,0.64,1.862645149230957e-09,45.43286730001273,532.5068359375
2026,2,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,43.12135149999813,532.5068359375
2026,2,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,43.282682400007616,532.5068359375
2026,2,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,43.23681419999048,532.5068359375
2026,3,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9910589336968363,0.8894009216589862,0.0,42.9825959999871,532.5068359375
2026,3,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9910589336968363,0.8894009216589862,0.0,43.365850700007286,532.5068359375
2026,3,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9910589336968363,0.8894009216589862,0.0,43.30279319999681,532.5068359375
2026,4,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3028083028083028,0.37916666666666665,0.37916666666666665,0.2222222222222222,0.3333333333333333,0.9719898063377139,0.849624060150376,0.0,43.19206830000621,532.5068359375
2026,4,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9719898063377139,0.849624060150376,0.0,43.208831200012355,532.5068359375
2026,4,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.38095238095238093,0.4375,0.4375,0.2222222222222222,0.3333333333333333,0.9719898063377139,0.849624060150376,0.0,43.22792910000135,532.5068359375
